"","ST","STATE","ST_ABBR","STCNTY","COUNTY","FIPS","LOCATION","RPL_THEMES"
"496",17,"ILLINOIS","IL",17031,"Cook",17031819200,"Census Tract 8192, Cook County, Illinois",0.4494
"497",17,"ILLINOIS","IL",17031,"Cook",17031819300,"Census Tract 8193, Cook County, Illinois",0.2171
"498",17,"ILLINOIS","IL",17031,"Cook",17031819400,"Census Tract 8194, Cook County, Illinois",0.1749
"499",17,"ILLINOIS","IL",17031,"Cook",17031819600,"Census Tract 8196, Cook County, Illinois",0.0391
"500",17,"ILLINOIS","IL",17031,"Cook",17031819700,"Census Tract 8197, Cook County, Illinois",0.043
"501",17,"ILLINOIS","IL",17031,"Cook",17031819801,"Census Tract 8198.01, Cook County, Illinois",0.0056
"502",17,"ILLINOIS","IL",17031,"Cook",17031819802,"Census Tract 8198.02, Cook County, Illinois",0.0059
"503",17,"ILLINOIS","IL",17031,"Cook",17031819900,"Census Tract 8199, Cook County, Illinois",0.001
"504",17,"ILLINOIS","IL",17031,"Cook",17031820000,"Census Tract 8200, Cook County, Illinois",0.0758
"505",17,"ILLINOIS","IL",17031,"Cook",17031820104,"Census Tract 8201.04, Cook County, Illinois",0.6667
"506",17,"ILLINOIS","IL",17031,"Cook",17031820201,"Census Tract 8202.01, Cook County, Illinois",0.2272
"507",17,"ILLINOIS","IL",17031,"Cook",17031820501,"Census Tract 8205.01, Cook County, Illinois",0.3507
"508",17,"ILLINOIS","IL",17031,"Cook",17031820604,"Census Tract 8206.04, Cook County, Illinois",0.7486
"509",17,"ILLINOIS","IL",17031,"Cook",17031820606,"Census Tract 8206.06, Cook County, Illinois",0.2871
"510",17,"ILLINOIS","IL",17031,"Cook",17031820700,"Census Tract 8207, Cook County, Illinois",0.6189
"511",17,"ILLINOIS","IL",17031,"Cook",17031820800,"Census Tract 8208, Cook County, Illinois",0.5776
"512",17,"ILLINOIS","IL",17031,"Cook",17031820901,"Census Tract 8209.01, Cook County, Illinois",0.6537
"513",17,"ILLINOIS","IL",17031,"Cook",17031820902,"Census Tract 8209.02, Cook County, Illinois",0.5909
"514",17,"ILLINOIS","IL",17031,"Cook",17031821001,"Census Tract 8210.01, Cook County, Illinois",0.5065
"515",17,"ILLINOIS","IL",17031,"Cook",17031821002,"Census Tract 8210.02, Cook County, Illinois",0.7022
"516",17,"ILLINOIS","IL",17031,"Cook",17031821102,"Census Tract 8211.02, Cook County, Illinois",0.6288
"517",17,"ILLINOIS","IL",17031,"Cook",17031821300,"Census Tract 8213, Cook County, Illinois",0.9109
"518",17,"ILLINOIS","IL",17031,"Cook",17031821401,"Census Tract 8214.01, Cook County, Illinois",0.8541
"519",17,"ILLINOIS","IL",17031,"Cook",17031821402,"Census Tract 8214.02, Cook County, Illinois",0.5707
"520",17,"ILLINOIS","IL",17031,"Cook",17031821600,"Census Tract 8216, Cook County, Illinois",0.3266
"521",17,"ILLINOIS","IL",17031,"Cook",17031821700,"Census Tract 8217, Cook County, Illinois",0.0993
"522",17,"ILLINOIS","IL",17031,"Cook",17031821800,"Census Tract 8218, Cook County, Illinois",0.2872
"523",17,"ILLINOIS","IL",17031,"Cook",17031821900,"Census Tract 8219, Cook County, Illinois",0.4318
"524",17,"ILLINOIS","IL",17031,"Cook",17031822000,"Census Tract 8220, Cook County, Illinois",0.2994
"525",17,"ILLINOIS","IL",17031,"Cook",17031822101,"Census Tract 8221.01, Cook County, Illinois",0.4099
"526",17,"ILLINOIS","IL",17031,"Cook",17031822102,"Census Tract 8221.02, Cook County, Illinois",0.8051
"527",17,"ILLINOIS","IL",17031,"Cook",17031822200,"Census Tract 8222, Cook County, Illinois",0.2374
"528",17,"ILLINOIS","IL",17031,"Cook",17031822301,"Census Tract 8223.01, Cook County, Illinois",0.3863
"529",17,"ILLINOIS","IL",17031,"Cook",17031822500,"Census Tract 8225, Cook County, Illinois",0.518
"530",17,"ILLINOIS","IL",17031,"Cook",17031822601,"Census Tract 8226.01, Cook County, Illinois",0.3318
"531",17,"ILLINOIS","IL",17031,"Cook",17031822602,"Census Tract 8226.02, Cook County, Illinois",0.698
"532",17,"ILLINOIS","IL",17031,"Cook",17031822702,"Census Tract 8227.02, Cook County, Illinois",0.574
"533",17,"ILLINOIS","IL",17031,"Cook",17031822802,"Census Tract 8228.02, Cook County, Illinois",0.4763
"534",17,"ILLINOIS","IL",17031,"Cook",17031822900,"Census Tract 8229, Cook County, Illinois",0.5272
"535",17,"ILLINOIS","IL",17031,"Cook",17031823002,"Census Tract 8230.02, Cook County, Illinois",0.4946
"536",17,"ILLINOIS","IL",17031,"Cook",17031823101,"Census Tract 8231.01, Cook County, Illinois",0.6646
"537",17,"ILLINOIS","IL",17031,"Cook",17031823102,"Census Tract 8231.02, Cook County, Illinois",0.4085
"538",17,"ILLINOIS","IL",17031,"Cook",17031823200,"Census Tract 8232, Cook County, Illinois",0.5364
"539",17,"ILLINOIS","IL",17031,"Cook",17031823302,"Census Tract 8233.02, Cook County, Illinois",0.6977
"540",17,"ILLINOIS","IL",17031,"Cook",17031823303,"Census Tract 8233.03, Cook County, Illinois",0.5624
"541",17,"ILLINOIS","IL",17031,"Cook",17031823304,"Census Tract 8233.04, Cook County, Illinois",0.757
"542",17,"ILLINOIS","IL",17031,"Cook",17031823400,"Census Tract 8234, Cook County, Illinois",0.7408
"543",17,"ILLINOIS","IL",17031,"Cook",17031823500,"Census Tract 8235, Cook County, Illinois",0.726
"544",17,"ILLINOIS","IL",17031,"Cook",17031823603,"Census Tract 8236.03, Cook County, Illinois",0.9755
"545",17,"ILLINOIS","IL",17031,"Cook",17031823604,"Census Tract 8236.04, Cook County, Illinois",0.0659
"546",17,"ILLINOIS","IL",17031,"Cook",17031823704,"Census Tract 8237.04, Cook County, Illinois",0.2281
"547",17,"ILLINOIS","IL",17031,"Cook",17031823705,"Census Tract 8237.05, Cook County, Illinois",0.7246
"548",17,"ILLINOIS","IL",17031,"Cook",17031823801,"Census Tract 8238.01, Cook County, Illinois",0.3424
"549",17,"ILLINOIS","IL",17031,"Cook",17031823803,"Census Tract 8238.03, Cook County, Illinois",0.4008
"550",17,"ILLINOIS","IL",17031,"Cook",17031823805,"Census Tract 8238.05, Cook County, Illinois",0.4214
"551",17,"ILLINOIS","IL",17031,"Cook",17031823806,"Census Tract 8238.06, Cook County, Illinois",0.656
"552",17,"ILLINOIS","IL",17031,"Cook",17031823901,"Census Tract 8239.01, Cook County, Illinois",0.1633
"553",17,"ILLINOIS","IL",17031,"Cook",17031823903,"Census Tract 8239.03, Cook County, Illinois",0.3399
"554",17,"ILLINOIS","IL",17031,"Cook",17031823904,"Census Tract 8239.04, Cook County, Illinois",0.1161
"555",17,"ILLINOIS","IL",17031,"Cook",17031824003,"Census Tract 8240.03, Cook County, Illinois",0.1574
"556",17,"ILLINOIS","IL",17031,"Cook",17031824004,"Census Tract 8240.04, Cook County, Illinois",0.4344
"557",17,"ILLINOIS","IL",17031,"Cook",17031824005,"Census Tract 8240.05, Cook County, Illinois",0.044
"558",17,"ILLINOIS","IL",17031,"Cook",17031824006,"Census Tract 8240.06, Cook County, Illinois",0.0612
"559",17,"ILLINOIS","IL",17031,"Cook",17031824105,"Census Tract 8241.05, Cook County, Illinois",0.113
"560",17,"ILLINOIS","IL",17031,"Cook",17031824106,"Census Tract 8241.06, Cook County, Illinois",0.1266
"561",17,"ILLINOIS","IL",17031,"Cook",17031824107,"Census Tract 8241.07, Cook County, Illinois",0.2158
"562",17,"ILLINOIS","IL",17031,"Cook",17031824108,"Census Tract 8241.08, Cook County, Illinois",0.4701
"563",17,"ILLINOIS","IL",17031,"Cook",17031824113,"Census Tract 8241.13, Cook County, Illinois",0.241
"564",17,"ILLINOIS","IL",17031,"Cook",17031824114,"Census Tract 8241.14, Cook County, Illinois",0.109
"565",17,"ILLINOIS","IL",17031,"Cook",17031824116,"Census Tract 8241.16, Cook County, Illinois",0.436
"566",17,"ILLINOIS","IL",17031,"Cook",17031824117,"Census Tract 8241.17, Cook County, Illinois",0.0169
"567",17,"ILLINOIS","IL",17031,"Cook",17031824119,"Census Tract 8241.19, Cook County, Illinois",0.0826
"568",17,"ILLINOIS","IL",17031,"Cook",17031824120,"Census Tract 8241.20, Cook County, Illinois",0.1694
"569",17,"ILLINOIS","IL",17031,"Cook",17031824121,"Census Tract 8241.21, Cook County, Illinois",0.0948
"570",17,"ILLINOIS","IL",17031,"Cook",17031824122,"Census Tract 8241.22, Cook County, Illinois",0.0611
"571",17,"ILLINOIS","IL",17031,"Cook",17031824123,"Census Tract 8241.23, Cook County, Illinois",0.2039
"572",17,"ILLINOIS","IL",17031,"Cook",17031824503,"Census Tract 8245.03, Cook County, Illinois",0.3307
"573",17,"ILLINOIS","IL",17031,"Cook",17031824505,"Census Tract 8245.05, Cook County, Illinois",0.1383
"574",17,"ILLINOIS","IL",17031,"Cook",17031824506,"Census Tract 8245.06, Cook County, Illinois",0.3522
"575",17,"ILLINOIS","IL",17031,"Cook",17031824507,"Census Tract 8245.07, Cook County, Illinois",0.701
"576",17,"ILLINOIS","IL",17031,"Cook",17031824601,"Census Tract 8246.01, Cook County, Illinois",0.1311
"577",17,"ILLINOIS","IL",17031,"Cook",17031824602,"Census Tract 8246.02, Cook County, Illinois",0.4777
"578",17,"ILLINOIS","IL",17031,"Cook",17031824701,"Census Tract 8247.01, Cook County, Illinois",0.4058
"579",17,"ILLINOIS","IL",17031,"Cook",17031824702,"Census Tract 8247.02, Cook County, Illinois",0.558
"580",17,"ILLINOIS","IL",17031,"Cook",17031824800,"Census Tract 8248, Cook County, Illinois",0.872
"581",17,"ILLINOIS","IL",17031,"Cook",17031824900,"Census Tract 8249, Cook County, Illinois",0.8763
"582",17,"ILLINOIS","IL",17031,"Cook",17031825000,"Census Tract 8250, Cook County, Illinois",0.4994
"583",17,"ILLINOIS","IL",17031,"Cook",17031825200,"Census Tract 8252, Cook County, Illinois",0.3189
"584",17,"ILLINOIS","IL",17031,"Cook",17031825302,"Census Tract 8253.02, Cook County, Illinois",0.5185
"585",17,"ILLINOIS","IL",17031,"Cook",17031825303,"Census Tract 8253.03, Cook County, Illinois",0.3851
"586",17,"ILLINOIS","IL",17031,"Cook",17031825304,"Census Tract 8253.04, Cook County, Illinois",0.2549
"587",17,"ILLINOIS","IL",17031,"Cook",17031825400,"Census Tract 8254, Cook County, Illinois",0.4124
"588",17,"ILLINOIS","IL",17031,"Cook",17031825501,"Census Tract 8255.01, Cook County, Illinois",0.6966
"589",17,"ILLINOIS","IL",17031,"Cook",17031825503,"Census Tract 8255.03, Cook County, Illinois",0.5318
"590",17,"ILLINOIS","IL",17031,"Cook",17031825504,"Census Tract 8255.04, Cook County, Illinois",0.5812
"591",17,"ILLINOIS","IL",17031,"Cook",17031825505,"Census Tract 8255.05, Cook County, Illinois",0.6443
"592",17,"ILLINOIS","IL",17031,"Cook",17031825600,"Census Tract 8256, Cook County, Illinois",0.8635
"593",17,"ILLINOIS","IL",17031,"Cook",17031825801,"Census Tract 8258.01, Cook County, Illinois",0.8101
"594",17,"ILLINOIS","IL",17031,"Cook",17031825802,"Census Tract 8258.02, Cook County, Illinois",0.7633
"595",17,"ILLINOIS","IL",17031,"Cook",17031825803,"Census Tract 8258.03, Cook County, Illinois",0.6622
"596",17,"ILLINOIS","IL",17031,"Cook",17031825900,"Census Tract 8259, Cook County, Illinois",0.8498
"597",17,"ILLINOIS","IL",17031,"Cook",17031826000,"Census Tract 8260, Cook County, Illinois",0.7949
"598",17,"ILLINOIS","IL",17031,"Cook",17031826100,"Census Tract 8261, Cook County, Illinois",0.8731
"599",17,"ILLINOIS","IL",17031,"Cook",17031826202,"Census Tract 8262.02, Cook County, Illinois",0.7005
"600",17,"ILLINOIS","IL",17031,"Cook",17031826301,"Census Tract 8263.01, Cook County, Illinois",0.7026
"601",17,"ILLINOIS","IL",17031,"Cook",17031826303,"Census Tract 8263.03, Cook County, Illinois",0.6139
"602",17,"ILLINOIS","IL",17031,"Cook",17031826304,"Census Tract 8263.04, Cook County, Illinois",0.728
"603",17,"ILLINOIS","IL",17031,"Cook",17031826401,"Census Tract 8264.01, Cook County, Illinois",0.694
"604",17,"ILLINOIS","IL",17031,"Cook",17031826402,"Census Tract 8264.02, Cook County, Illinois",0.7571
"605",17,"ILLINOIS","IL",17031,"Cook",17031826500,"Census Tract 8265, Cook County, Illinois",0.8659
"606",17,"ILLINOIS","IL",17031,"Cook",17031826600,"Census Tract 8266, Cook County, Illinois",0.746
"607",17,"ILLINOIS","IL",17031,"Cook",17031826901,"Census Tract 8269.01, Cook County, Illinois",0.878
"608",17,"ILLINOIS","IL",17031,"Cook",17031827000,"Census Tract 8270, Cook County, Illinois",0.765
"609",17,"ILLINOIS","IL",17031,"Cook",17031827200,"Census Tract 8272, Cook County, Illinois",0.9282
"610",17,"ILLINOIS","IL",17031,"Cook",17031827400,"Census Tract 8274, Cook County, Illinois",0.9713
"611",17,"ILLINOIS","IL",17031,"Cook",17031827500,"Census Tract 8275, Cook County, Illinois",0.8833
"612",17,"ILLINOIS","IL",17031,"Cook",17031827600,"Census Tract 8276, Cook County, Illinois",0.7085
"613",17,"ILLINOIS","IL",17031,"Cook",17031827700,"Census Tract 8277, Cook County, Illinois",0.8602
