"","...1","fips","FIPS.x","stateName","countyName","ccvi","adi.median3","adi.mean3","adi.median3.uw","adi.mean3.uw","fips.y","ST","STATE","ST_ABBR","STCNTY","COUNTY","FIPS.y","LOCATION","RPL_THEMES","sviscore","year","countyfips","statefips","stateusps","pop","z_ED_nat","z_HE_nat","z_SE_nat","z_COI_nat","c5_ED_nat","c5_HE_nat","c5_SE_nat","c5_COI_nat","r_ED_nat","r_HE_nat","r_SE_nat","r_COI_nat","c5_ED_stt","c5_HE_stt","c5_SE_stt","c5_COI_stt","r_ED_stt","r_HE_stt","r_SE_stt","r_COI_stt","c5_ED_met","c5_HE_met","c5_SE_met","c5_COI_met","r_ED_met","r_HE_met","r_SE_met","r_COI_met","coi_num"
"117",117,"22071008300",22071008300,"LOUISIANA","Orleans",0.420179825715909,1,1,1,1,22071008300,22,"LOUISIANA","LA",22071,"Orleans",22071008300,"Census Tract 83, Orleans Parish, Louisiana",0.1704,0.1704,2015,22071,22,"LA",105,0.063456,0.002627,0.288345,0.040938,"Very High","Low","Very High","Very High",81,34,97,90,"Very High","Moderate","Very High","Very High",98,54,100,99,"Very High","Moderate","Very High","Very High",93,50,99,98,5
"118",118,"22071008400",22071008400,"LOUISIANA","Orleans",0.700932378326707,2,2,2,2,22071008400,22,"LOUISIANA","LA",22071,"Orleans",22071008400,"Census Tract 84, Orleans Parish, Louisiana",0.5346,0.5346,2015,22071,22,"LA",37,0.046516,-0.02906,-0.09169,-0.00862,"High","Very Low","Low","Low",76,14,29,35,"Very High","Low","Moderate","Moderate",95,24,44,53,"Very High","Low","Moderate","Moderate",88,25,41,46,3
"119",119,"22071008500",22071008500,"LOUISIANA","Orleans",0.82219697704382,3,3,3,3,22071008500,22,"LOUISIANA","LA",22071,"Orleans",22071008500,"Census Tract 85, Orleans Parish, Louisiana",0.8455,0.8455,2015,22071,22,"LA",214,-0.00663,-0.06439,-0.4804,-0.06358,"Moderate","Very Low","Very Low","Very Low",51,5,2,3,"High","Very Low","Very Low","Very Low",66,9,3,4,"Moderate","Very Low","Very Low","Very Low",49,11,3,3,1
"120",120,"22071008600",22071008600,"LOUISIANA","Orleans",0.935564760809631,6,7,7,7,22071008600,22,"LOUISIANA","LA",22071,"Orleans",22071008600,"Census Tract 86, Orleans Parish, Louisiana",0.9232,0.9232,2015,22071,22,"LA",199,0.011329,-0.0588,-0.45165,-0.05765,"High","Very Low","Very Low","Very Low",61,6,3,5,"High","Very Low","Very Low","Very Low",80,12,3,7,"High","Very Low","Very Low","Very Low",70,13,3,4,1
"121",121,"22071008800",22071008800,"LOUISIANA","Orleans",0.322467131239523,1,1,1,1,22071008800,22,"LOUISIANA","LA",22071,"Orleans",22071008800,"Census Tract 88, Orleans Parish, Louisiana",0.0901,0.0901,2015,22071,22,"LA",196,0.060888,0.002605,-0.02313,0.004324,"Very High","Low","Low","Moderate",81,34,40,50,"Very High","Moderate","Moderate","High",98,54,57,71,"Very High","Moderate","Moderate","High",93,50,51,63,4
"122",122,"22071009000",22071009000,"LOUISIANA","Orleans",0.316537592995387,1,1,1,1,22071009000,22,"LOUISIANA","LA",22071,"Orleans",22071009000,"Census Tract 90, Orleans Parish, Louisiana",0.1903,0.1903,2015,22071,22,"LA",269,0.079576,0.022919,0.229336,0.037991,"Very High","Moderate","Very High","Very High",86,52,91,88,"Very High","High","Very High","Very High",99,78,98,99,"Very High","High","Very High","Very High",97,71,97,97,5
"123",123,"22071009100",22071009100,"LOUISIANA","Orleans",0.80413128108505,1,2,1,2,22071009100,22,"LOUISIANA","LA",22071,"Orleans",22071009100,"Census Tract 91, Orleans Parish, Louisiana",0.6058,0.6058,2015,22071,22,"LA",162,0.0529,-0.03742,0.021541,0.004409,"High","Very Low","Moderate","Moderate",78,11,49,50,"Very High","Very Low","High","High",96,20,67,71,"Very High","Low","Moderate","High",89,22,60,63,4
"124",124,"22071009200",22071009200,"LOUISIANA","Orleans",0.88575941037115,4,6,7,6,22071009200,22,"LOUISIANA","LA",22071,"Orleans",22071009200,"Census Tract 92, Orleans Parish, Louisiana",0.7961,0.7961,2015,22071,22,"LA",340,0.01673,-0.06762,-0.51191,-0.06501,"High","Very Low","Very Low","Very Low",63,4,2,3,"Very High","Very Low","Very Low","Very Low",84,9,2,4,"High","Very Low","Very Low","Very Low",77,10,2,3,1
"125",125,"22071009400",22071009400,"LOUISIANA","Orleans",0.919674152477799,7,7.75,7.5,7.75,22071009400,22,"LOUISIANA","LA",22071,"Orleans",22071009400,"Census Tract 94, Orleans Parish, Louisiana",0.9458,0.9458,2015,22071,22,"LA",492,0.025842,-0.06366,-0.44279,-0.05552,"High","Very Low","Very Low","Very Low",67,5,3,5,"Very High","Very Low","Very Low","Very Low",89,10,3,8,"Very High","Very Low","Very Low","Very Low",82,12,3,5,1
"126",126,"22071009600",22071009600,"LOUISIANA","Orleans",0.694628780426982,1,1,1,1,22071009600,22,"LOUISIANA","LA",22071,"Orleans",22071009600,"Census Tract 96, Orleans Parish, Louisiana",0.5499,0.5499,2015,22071,22,"LA",200,0.089288,-0.0071,0.083141,0.018836,"Very High","Low","High","High",88,26,62,67,"Very High","Moderate","High","Very High",100,43,80,86,"Very High","Moderate","High","High",99,41,74,80,5
"127",127,"22071009700",22071009700,"LOUISIANA","Orleans",0.242265970269184,1,1,1,1,22071009700,22,"LOUISIANA","LA",22071,"Orleans",22071009700,"Census Tract 97, Orleans Parish, Louisiana",0.011,0.011,2015,22071,22,"LA",135,0.082505,0.005933,0.237519,0.03747,"Very High","Low","Very High","Very High",86,36,92,87,"Very High","Moderate","Very High","Very High",100,59,99,99,"Very High","Moderate","Very High","Very High",98,53,97,97,5
"128",128,"22071009900",22071009900,"LOUISIANA","Orleans",0.65461825134038,1,1,1,1,22071009900,22,"LOUISIANA","LA",22071,"Orleans",22071009900,"Census Tract 99, Orleans Parish, Louisiana",0.2705,0.2705,2015,22071,22,"LA",330,0.101038,-0.00147,0.055477,0.017508,"Very High","Low","Moderate","High",91,30,56,66,"Very High","Moderate","High","Very High",100,49,75,85,"Very High","Moderate","High","High",99,47,70,79,5
"129",129,"22071010000",22071010000,"LOUISIANA","Orleans",0.772544021279838,1,2.5,1.5,2.5,22071010000,22,"LOUISIANA","LA",22071,"Orleans",22071010000,"Census Tract 100, Orleans Parish, Louisiana",0.7049,0.7049,2015,22071,22,"LA",328,0.036945,-0.03516,-0.16818,-0.01925,"High","Very Low","Very Low","Low",72,12,18,24,"Very High","Low","Low","Low",93,22,32,38,"Very High","Low","Low","Low",86,22,30,35,2
"130",130,"22071010100",22071010100,"LOUISIANA","Orleans",0.317535085410288,1,1,1,1,22071010100,22,"LOUISIANA","LA",22071,"Orleans",22071010100,"Census Tract 101, Orleans Parish, Louisiana",0.0968,0.0968,2015,22071,22,"LA",204,0.068638,-0.04112,0.121869,0.017462,"Very High","Very Low","High","High",83,10,70,66,"Very High","Very Low","Very High","Very High",98,17,85,85,"Very High","Very Low","High","High",93,20,80,79,5
"131",131,"22071010200",22071010200,"LOUISIANA","Orleans",0.67614746262867,1.5,3.4,2,3.4,22071010200,22,"LOUISIANA","LA",22071,"Orleans",22071010200,"Census Tract 102, Orleans Parish, Louisiana",0.5906,0.5906,2015,22071,22,"LA",364,0.035198,-0.08151,-0.11562,-0.01822,"High","Very Low","Low","Low",72,3,25,25,"Very High","Very Low","Low","Low",92,6,40,39,"Very High","Very Low","Low","Low",86,6,37,35,2
"132",132,"22071010300",22071010300,"LOUISIANA","Orleans",0.890525207464568,2,2,2,2,22071010300,22,"LOUISIANA","LA",22071,"Orleans",22071010300,"Census Tract 103, Orleans Parish, Louisiana",0.8929,0.8929,2015,22071,22,"LA",835,0.055381,-0.03269,-0.17525,-0.01777,"High","Very Low","Very Low","Low",79,13,17,26,"Very High","Low","Low","Low",96,23,31,39,"Very High","Low","Low","Low",89,23,30,36,2
"133",133,"22071010600",22071010600,"LOUISIANA","Orleans",0.381180643105526,1,1,1,1,22071010600,22,"LOUISIANA","LA",22071,"Orleans",22071010600,"Census Tract 106, Orleans Parish, Louisiana",0.1758,0.1758,2015,22071,22,"LA",141,0.091691,0.012714,0.081753,0.02104,"Very High","Moderate","High","High",89,42,61,70,"Very High","High","High","Very High",100,67,79,90,"Very High","High","High","Very High",99,64,74,86,5
"134",134,"22071010700",22071010700,"LOUISIANA","Orleans",0.357822695723251,1,1,1,1,22071010700,22,"LOUISIANA","LA",22071,"Orleans",22071010700,"Census Tract 107, Orleans Parish, Louisiana",0.207,0.207,2015,22071,22,"LA",317,0.1213,0.035715,0.019043,0.019442,"Very High","High","Moderate","High",94,66,48,68,"Very High","Very High","High","Very High",100,91,67,87,"Very High","Very High","Moderate","Very High",100,86,60,82,5
"135",135,"22071010800",22071010800,"LOUISIANA","Orleans",0.0884581815159114,1,1,1,1,22071010800,22,"LOUISIANA","LA",22071,"Orleans",22071010800,"Census Tract 108, Orleans Parish, Louisiana",0.0029,0.0029,2015,22071,22,"LA",247,0.128945,0.047854,0.374471,0.063028,"Very High","High","Very High","Very High",95,78,100,100,"Very High","Very High","Very High","Very High",100,98,100,100,"Very High","Very High","Very High","Very High",100,97,100,100,5
"136",136,"22071010900",22071010900,"LOUISIANA","Orleans",0.416134439811031,1,1.25,1,1.25,22071010900,22,"LOUISIANA","LA",22071,"Orleans",22071010900,"Census Tract 109, Orleans Parish, Louisiana",0.1815,0.1815,2015,22071,22,"LA",346,0.086177,0.002217,0.090922,0.020386,"Very High","Low","High","High",87,33,63,69,"Very High","Moderate","Very High","Very High",100,53,81,88,"Very High","Moderate","High","Very High",98,50,75,84,5
"137",137,"22071011100",22071011100,"LOUISIANA","Orleans",0.666061705989111,1.5,1.66666666666667,2,1.66666666666667,22071011100,22,"LOUISIANA","LA",22071,"Orleans",22071011100,"Census Tract 111, Orleans Parish, Louisiana",0.5108,0.5108,2015,22071,22,"LA",258,0.08505,-0.07094,0.057455,0.00861,"Very High","Very Low","Moderate","Moderate",87,4,56,55,"Very High","Very Low","High","High",100,8,75,76,"Very High","Very Low","High","High",98,9,70,68,4
"138",138,"22071011200",22071011200,"LOUISIANA","Orleans",0.498981726493121,1,1,1,1,22071011200,22,"LOUISIANA","LA",22071,"Orleans",22071011200,"Census Tract 112, Orleans Parish, Louisiana",0.2889,0.2889,2015,22071,22,"LA",191,0.094959,-0.0059,0.089533,0.020337,"Very High","Low","High","High",89,27,63,69,"Very High","Moderate","Very High","Very High",100,44,81,88,"Very High","Moderate","High","Very High",99,41,75,84,5
