"","fips","year","countyfips","statefips","stateusps","pop","z_ED_nat","z_HE_nat","z_SE_nat","z_COI_nat","c5_ED_nat","c5_HE_nat","c5_SE_nat","c5_COI_nat","r_ED_nat","r_HE_nat","r_SE_nat","r_COI_nat","c5_ED_stt","c5_HE_stt","c5_SE_stt","c5_COI_stt","r_ED_stt","r_HE_stt","r_SE_stt","r_COI_stt","c5_ED_met","c5_HE_met","c5_SE_met","c5_COI_met","r_ED_met","r_HE_met","r_SE_met","r_COI_met"
"157",22071013100,2015,22071,22,"LA",308,0.033432674,-0.13527676,-0.35052761,-0.051505763,"High","Very Low","Very Low","Very Low",71,1,5,6,"Very High","Very Low","Very Low","Very Low",91,1,10,10,"Very High","Very Low","Very Low","Very Low",85,1,10,8
"158",22071013200,2015,22071,22,"LA",395,0.028914606,-0.028738216,-0.27270642,-0.031645816,"High","Very Low","Very Low","Very Low",69,14,9,15,"Very High","Low","Very Low","Low",90,24,18,26,"Very High","Low","Very Low","Low",83,25,16,23
"159",22071013301,2015,22071,22,"LA",739,0.06836582,0.02878963,0.27255958,0.042411558,"Very High","Moderate","Very High","Very High",83,58,96,91,"Very High","Very High","Very High","Very High",98,85,100,100,"Very High","High","Very High","Very High",93,78,99,99
"160",22071013302,2015,22071,22,"LA",366,0.064097948,-0.054808833,0.26490909,0.032191899,"Very High","Very Low","Very High","Very High",82,6,95,82,"Very High","Very Low","Very High","Very High",98,13,99,97,"Very High","Very Low","Very High","Very High",93,14,98,94
"161",22071013400,2015,22071,22,"LA",101,0.029408524,-0.0099367173,0.047962256,0.0077993688,"High","Low","Moderate","Moderate",69,24,54,54,"Very High","Low","High","High",90,39,73,76,"Very High","Low","High","High",84,36,68,68
"162",22071013500,2015,22071,22,"LA",10,-0.00332482,-0.042769425,-0.079479113,-0.01416791,"Moderate","Very Low","Low","Low",53,9,31,29,"High","Very Low","Moderate","Moderate",69,17,45,45,"Moderate","Very Low","Moderate","Moderate",53,19,43,41
"163",22071013600,2015,22071,22,"LA",116,-0.0013728695,-0.048098333,0.0034141801,-0.0048483782,"Moderate","Very Low","Moderate","Low",54,8,45,39,"High","Very Low","High","Moderate",71,15,63,58,"Moderate","Very Low","Moderate","Moderate",56,15,57,51
"164",22071013700,2015,22071,22,"LA",1015,-0.015371957,-0.088363186,-0.58046645,-0.078761086,"Moderate","Very Low","Very Low","Very Low",46,2,1,1,"Moderate","Very Low","Very Low","Very Low",58,4,1,1,"Moderate","Very Low","Very Low","Very Low",43,5,1,1
"165",22071013800,2015,22071,22,"LA",966,-0.0056294524,-0.047025174,-0.4344829,-0.056277491,"Moderate","Very Low","Very Low","Very Low",51,8,3,5,"High","Very Low","Very Low","Very Low",67,15,4,8,"Moderate","Very Low","Very Low","Very Low",51,16,3,4
"166",22071013900,2015,22071,22,"LA",199,0.037056081,-0.031942599,-0.11480732,-0.012667739,"High","Very Low","Low","Low",72,13,25,31,"Very High","Low","Low","Moderate",93,23,40,46,"Very High","Low","Low","Moderate",87,24,38,42
"167",22071014000,2015,22071,22,"LA",659,-0.015529304,-0.0249702,-0.59078074,-0.073267013,"Moderate","Very Low","Very Low","Very Low",46,16,1,2,"Moderate","Low","Very Low","Very Low",58,26,1,3,"Moderate","Low","Very Low","Very Low",42,28,1,2
"168",22071014100,2015,22071,22,"LA",144,0.036985852,0.0049138856,-0.31157109,-0.03171999,"High","Low","Very Low","Very Low",72,35,7,15,"Very High","Moderate","Very Low","Low",93,57,14,26,"Very High","Moderate","Very Low","Low",86,52,14,23
"169",22071014200,2015,22071,22,"LA",125,0.072427839,0.00079611427,0.017659586,0.010168006,"Very High","Low","Moderate","Moderate",84,32,48,57,"Very High","Moderate","High","High",99,51,66,79,"Very High","Moderate","Moderate","High",94,48,60,71
"170",22071014300,2015,22071,22,"LA",774,0.0082692131,-0.051232494,-0.49550837,-0.062300626,"Moderate","Very Low","Very Low","Very Low",59,7,2,4,"High","Very Low","Very Low","Very Low",78,14,2,5,"High","Very Low","Very Low","Very Low",66,15,2,3
"171",22071014400,2015,22071,22,"LA",191,0.089573696,-0.0020507225,0.07971926,0.019003931,"Very High","Low","High","High",88,30,61,67,"Very High","Moderate","High","Very High",100,49,79,86,"Very High","Moderate","High","High",99,46,74,80
